Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00      297     0.00     0.24  memory_graph_array_push
  0.00      0.01     0.00      293     0.00     1.61  vm_new_block
  0.00      0.01     0.00      290     0.00     0.00  is_true
  0.00      0.01     0.00      290     0.00     0.13  vm_maybe_initialize_and_execute
  0.00      0.01     0.00      289     0.00     2.25  call_fn
  0.00      0.01     0.00      274     0.00     0.13  memory_graph_tuple_add
  0.00      0.01     0.00      274     0.00     0.00  tuple_add
  0.00      0.01     0.00      256     0.00     0.00  tuple_get
  0.00      0.01     0.00      248     0.00     0.11  vm_object_lookup
  0.00      0.01     0.00      227     0.00     0.00  write_ins_no_arg
  0.00      0.01     0.00      206     0.00     0.00  array_create
  0.00      0.01     0.00      206     0.00     0.00  array_delete
  0.00      0.01     0.00      197     0.00     0.00  elt_to_str
  0.00      0.01     0.00      166     0.00     0.14  statement_list
  0.00      0.01     0.00      156     0.00     0.48  string_create
  0.00      0.01     0.00      155     0.00     0.00  operator_add
  0.00      0.01     0.00      154     0.00     0.00  create_none
  0.00      0.01     0.00      152     0.00     0.00  codegen
  0.00      0.01     0.00      147     0.00     0.00  operator_sub
  0.00      0.01     0.00      146     0.00     0.12  element_true
  0.00      0.01     0.00      145     0.00     0.12  element_false
  0.00      0.01     0.00      117     0.00     0.48  create_tuple
  0.00      0.01     0.00      117     0.00     0.00  tuple_create
  0.00      0.01     0.00      117     0.00     0.00  tuple_delete
  0.00      0.01     0.00      104     0.00     0.04  obj_to_str
  0.00      0.01     0.00      102     0.00     0.54  execute_str_param
  0.00      0.01     0.00       99     0.00     0.12  operator_lt
  0.00      0.01     0.00       88     0.00     0.00  expression_tree_delete
  0.00      0.01     0.00       82     0.00     0.00  array_set
  0.00      0.01     0.00       82     0.00     0.00  codegen_postfix1
  0.00      0.01     0.00       82     0.00     0.12  memory_graph_array_set
  0.00      0.01     0.00       78     0.00     0.00  read_string
  0.00      0.01     0.00       72     0.00     0.12  operator_lte
  0.00      0.01     0.00       65     0.00     0.17  function_argument_list
  0.00      0.01     0.00       63     0.00     0.00  write_ins_int
